Order_id,Status,Returned_date
65,Returned,00:00.0
69,Returned,00:00.0
134,Returned,00:00.0
135,Returned,00:00.0
230,Returned,00:00.0
324,Returned,00:00.0
359,Returned,00:00.0
612,Returned,00:00.0
614,Returned,00:00.0
678,Returned,00:00.0
710,Returned,00:00.0
740,Returned,00:00.0
775,Returned,00:00.0
833,Returned,00:00.0
902,Returned,00:00.0
928,Returned,00:00.0
930,Returned,00:00.0
1060,Returned,00:00.0
1127,Returned,00:00.0
1285,Returned,00:00.0
1317,Returned,00:00.0
1382,Returned,00:00.0
1538,Returned,00:00.0
1665,Returned,00:00.0
1921,Returned,00:00.0
2050,Returned,00:00.0
2052,Returned,00:00.0
2055,Returned,00:00.0
2146,Returned,00:00.0
2213,Returned,00:00.0
2240,Returned,00:00.0
2500,Returned,00:00.0
2503,Returned,00:00.0
2562,Returned,00:00.0
2823,Returned,00:00.0
2915,Returned,00:00.0
3300,Returned,00:00.0
3456,Returned,00:00.0
3525,Returned,00:00.0
3589,Returned,00:00.0
3687,Returned,00:00.0
3777,Returned,00:00.0
3783,Returned,00:00.0
4006,Returned,00:00.0
4037,Returned,00:00.0
4230,Returned,00:00.0
4261,Returned,00:00.0
4391,Returned,00:00.0
4610,Returned,00:00.0
4738,Returned,00:00.0
4864,Returned,00:00.0
4960,Returned,00:00.0
5028,Returned,00:00.0
5059,Returned,00:00.0
5061,Returned,00:00.0
5189,Returned,00:00.0
5381,Returned,00:00.0
5414,Returned,00:00.0
5511,Returned,00:00.0
5699,Returned,00:00.0
6054,Returned,00:00.0
6241,Returned,00:00.0
6272,Returned,00:00.0
6498,Returned,00:00.0
6500,Returned,00:00.0
6502,Returned,00:00.0
6661,Returned,00:00.0
6695,Returned,00:00.0
6757,Returned,00:00.0
6978,Returned,00:00.0
6979,Returned,00:00.0
7079,Returned,00:00.0
7107,Returned,00:00.0
7203,Returned,00:00.0
7269,Returned,00:00.0
7364,Returned,00:00.0
7521,Returned,00:00.0
7744,Returned,00:00.0
7812,Returned,00:00.0
7815,Returned,00:00.0
7841,Returned,00:00.0
7845,Returned,00:00.0
8034,Returned,00:00.0
8133,Returned,00:00.0
8292,Returned,00:00.0
8293,Returned,00:00.0
8353,Returned,00:00.0
8961,Returned,00:00.0
9027,Returned,00:00.0
9093,Returned,00:00.0
9152,Returned,00:00.0
9219,Returned,00:00.0
9472,Returned,00:00.0
9574,Returned,00:00.0
9696,Returned,00:00.0
9701,Returned,00:00.0
9762,Returned,00:00.0
9829,Returned,00:00.0
9895,Returned,00:00.0
9923,Returned,00:00.0
9927,Returned,00:00.0
10054,Returned,00:00.0
10183,Returned,00:00.0
10498,Returned,00:00.0
10662,Returned,00:00.0
10917,Returned,00:00.0
11271,Returned,00:00.0
11396,Returned,00:00.0
11425,Returned,00:00.0
11426,Returned,00:00.0
11648,Returned,00:00.0
11652,Returned,00:00.0
11682,Returned,00:00.0
11748,Returned,00:00.0
11909,Returned,00:00.0
11911,Returned,00:00.0
12005,Returned,00:00.0
12067,Returned,00:00.0
12096,Returned,00:00.0
12262,Returned,00:00.0
12263,Returned,00:00.0
12389,Returned,00:00.0
12451,Returned,00:00.0
12483,Returned,00:00.0
12580,Returned,00:00.0
12613,Returned,00:00.0
12704,Returned,00:00.0
12706,Returned,00:00.0
12710,Returned,00:00.0
12806,Returned,00:00.0
12900,Returned,00:00.0
12903,Returned,00:00.0
13091,Returned,00:00.0
13158,Returned,00:00.0
13218,Returned,00:00.0
13284,Returned,00:00.0
13410,Returned,00:00.0
13444,Returned,00:00.0
13638,Returned,00:00.0
13729,Returned,00:00.0
13765,Returned,00:00.0
13959,Returned,00:00.0
13984,Returned,00:00.0
13986,Returned,00:00.0
14176,Returned,00:00.0
14242,Returned,00:00.0
14406,Returned,00:00.0
14497,Returned,00:00.0
14528,Returned,00:00.0
14534,Returned,00:00.0
14820,Returned,00:00.0
14951,Returned,00:00.0
15009,Returned,00:00.0
15106,Returned,00:00.0
15202,Returned,00:00.0
15206,Returned,00:00.0
15303,Returned,00:00.0
15712,Returned,00:00.0
15718,Returned,00:00.0
15778,Returned,00:00.0
15872,Returned,00:00.0
15904,Returned,00:00.0
16134,Returned,00:00.0
16582,Returned,00:00.0
16641,Returned,00:00.0
16679,Returned,00:00.0
16864,Returned,00:00.0
16961,Returned,00:00.0
17058,Returned,00:00.0
17155,Returned,00:00.0
17255,Returned,00:00.0
17282,Returned,00:00.0
17313,Returned,00:00.0
17508,Returned,00:00.0
17668,Returned,00:00.0
17858,Returned,00:00.0
17985,Returned,00:00.0
17988,Returned,00:00.0
18119,Returned,00:00.0
18215,Returned,00:00.0
18336,Returned,00:00.0
18496,Returned,00:00.0
18533,Returned,00:00.0
18593,Returned,00:00.0
18661,Returned,00:00.0
18689,Returned,00:00.0
18753,Returned,00:00.0
18822,Returned,00:00.0
18919,Returned,00:00.0
19010,Returned,00:00.0
19078,Returned,00:00.0
19138,Returned,00:00.0
19523,Returned,00:00.0
19616,Returned,00:00.0
19718,Returned,00:00.0
20036,Returned,00:00.0
20134,Returned,00:00.0
20389,Returned,00:00.0
20453,Returned,00:00.0
20480,Returned,00:00.0
20486,Returned,00:00.0
20704,Returned,00:00.0
20743,Returned,00:00.0
20864,Returned,00:00.0
20899,Returned,00:00.0
20934,Returned,00:00.0
21222,Returned,00:00.0
21286,Returned,00:00.0
21346,Returned,00:00.0
21383,Returned,00:00.0
21729,Returned,00:00.0
21824,Returned,00:00.0
21890,Returned,00:00.0
22181,Returned,00:00.0
22402,Returned,00:00.0
22627,Returned,00:00.0
22656,Returned,00:00.0
22661,Returned,00:00.0
22787,Returned,00:00.0
22820,Returned,00:00.0
22947,Returned,00:00.0
22950,Returned,00:00.0
23076,Returned,00:00.0
23168,Returned,00:00.0
23488,Returned,00:00.0
23557,Returned,00:00.0
23559,Returned,00:00.0
23616,Returned,00:00.0
23619,Returned,00:00.0
23748,Returned,00:00.0
24066,Returned,00:00.0
24519,Returned,00:00.0
24707,Returned,00:00.0
24902,Returned,00:00.0
25095,Returned,00:00.0
25152,Returned,00:00.0
25157,Returned,00:00.0
25478,Returned,00:00.0
25479,Returned,00:00.0
25735,Returned,00:00.0
25799,Returned,00:00.0
25828,Returned,00:00.0
25952,Returned,00:00.0
26240,Returned,00:00.0
26372,Returned,00:00.0
26784,Returned,00:00.0
26852,Returned,00:00.0
26881,Returned,00:00.0
26982,Returned,00:00.0
27137,Returned,00:00.0
27490,Returned,00:00.0
27712,Returned,00:00.0
27744,Returned,00:00.0
27750,Returned,00:00.0
28003,Returned,00:00.0
28037,Returned,00:00.0
28291,Returned,00:00.0
28387,Returned,00:00.0
28419,Returned,00:00.0
28455,Returned,00:00.0
28544,Returned,00:00.0
28928,Returned,00:00.0
29095,Returned,00:00.0
29318,Returned,00:00.0
29376,Returned,00:00.0
29380,Returned,00:00.0
29410,Returned,00:00.0
29505,Returned,00:00.0
29506,Returned,00:00.0
29861,Returned,00:00.0
29991,Returned,00:00.0
30176,Returned,00:00.0
30403,Returned,00:00.0
30469,Returned,00:00.0
31073,Returned,00:00.0
31232,Returned,00:00.0
31303,Returned,00:00.0
31682,Returned,00:00.0
31844,Returned,00:00.0
31907,Returned,00:00.0
32036,Returned,00:00.0
32582,Returned,00:00.0
32901,Returned,00:00.0
32931,Returned,00:00.0
32966,Returned,00:00.0
32996,Returned,00:00.0
32998,Returned,00:00.0
33283,Returned,00:00.0
33317,Returned,00:00.0
33477,Returned,00:00.0
33510,Returned,00:00.0
33541,Returned,00:00.0
33637,Returned,00:00.0
33921,Returned,00:00.0
34117,Returned,00:00.0
34209,Returned,00:00.0
34338,Returned,00:00.0
34532,Returned,00:00.0
34658,Returned,00:00.0
34661,Returned,00:00.0
34689,Returned,00:00.0
34916,Returned,00:00.0
35047,Returned,00:00.0
35110,Returned,00:00.0
35111,Returned,00:00.0
35137,Returned,00:00.0
35366,Returned,00:00.0
35492,Returned,00:00.0
35554,Returned,00:00.0
35588,Returned,00:00.0
35687,Returned,00:00.0
35744,Returned,00:00.0
35877,Returned,00:00.0
35910,Returned,00:00.0
35936,Returned,00:00.0
36038,Returned,00:00.0
36067,Returned,00:00.0
36160,Returned,00:00.0
36262,Returned,00:00.0
36449,Returned,00:00.0
36609,Returned,00:00.0
36676,Returned,00:00.0
36679,Returned,00:00.0
36705,Returned,00:00.0
36707,Returned,00:00.0
36743,Returned,00:00.0
36772,Returned,00:00.0
36773,Returned,00:00.0
36932,Returned,00:00.0
36934,Returned,00:00.0
36992,Returned,00:00.0
36994,Returned,00:00.0
36998,Returned,00:00.0
36999,Returned,00:00.0
37250,Returned,00:00.0
37380,Returned,00:00.0
37414,Returned,00:00.0
37572,Returned,00:00.0
37760,Returned,00:00.0
37860,Returned,00:00.0
37862,Returned,00:00.0
37924,Returned,00:00.0
38050,Returned,00:00.0
38210,Returned,00:00.0
38240,Returned,00:00.0
38272,Returned,00:00.0
38400,Returned,00:00.0
38530,Returned,00:00.0
38596,Returned,00:00.0
38661,Returned,00:00.0
38787,Returned,00:00.0
39043,Returned,00:00.0
39075,Returned,00:00.0
39169,Returned,00:00.0
39333,Returned,00:00.0
39490,Returned,00:00.0
39555,Returned,00:00.0
39619,Returned,00:00.0
39872,Returned,00:00.0
39904,Returned,00:00.0
39943,Returned,00:00.0
40097,Returned,00:00.0
40132,Returned,00:00.0
40134,Returned,00:00.0
40160,Returned,00:00.0
40354,Returned,00:00.0
40802,Returned,00:00.0
40806,Returned,00:00.0
41059,Returned,00:00.0
41120,Returned,00:00.0
41186,Returned,00:00.0
41216,Returned,00:00.0
41508,Returned,00:00.0
41760,Returned,00:00.0
41861,Returned,00:00.0
42342,Returned,00:00.0
42375,Returned,00:00.0
42436,Returned,00:00.0
42563,Returned,00:00.0
42628,Returned,00:00.0
42788,Returned,00:00.0
42823,Returned,00:00.0
42850,Returned,00:00.0
42912,Returned,00:00.0
42945,Returned,00:00.0
43138,Returned,00:00.0
43140,Returned,00:00.0
43203,Returned,00:00.0
43269,Returned,00:00.0
43488,Returned,00:00.0
43494,Returned,00:00.0
43585,Returned,00:00.0
43713,Returned,00:00.0
44098,Returned,00:00.0
44292,Returned,00:00.0
44486,Returned,00:00.0
44579,Returned,00:00.0
44583,Returned,00:00.0
44869,Returned,00:00.0
44962,Returned,00:00.0
45127,Returned,00:00.0
45605,Returned,00:00.0
45632,Returned,00:00.0
45698,Returned,00:00.0
45767,Returned,00:00.0
45794,Returned,00:00.0
45863,Returned,00:00.0
46052,Returned,00:00.0
46276,Returned,00:00.0
46311,Returned,00:00.0
46341,Returned,00:00.0
46375,Returned,00:00.0
46497,Returned,00:00.0
46662,Returned,00:00.0
46852,Returned,00:00.0
47078,Returned,00:00.0
47079,Returned,00:00.0
47109,Returned,00:00.0
47138,Returned,00:00.0
47174,Returned,00:00.0
47265,Returned,00:00.0
47271,Returned,00:00.0
47457,Returned,00:00.0
47494,Returned,00:00.0
47620,Returned,00:00.0
47621,Returned,00:00.0
47813,Returned,00:00.0
47876,Returned,00:00.0
47910,Returned,00:00.0
48293,Returned,00:00.0
48295,Returned,00:00.0
48321,Returned,00:00.0
48353,Returned,00:00.0
48391,Returned,00:00.0
48448,Returned,00:00.0
48486,Returned,00:00.0
48487,Returned,00:00.0
48615,Returned,00:00.0
48710,Returned,00:00.0
48773,Returned,00:00.0
48775,Returned,00:00.0
48931,Returned,00:00.0
49026,Returned,00:00.0
49027,Returned,00:00.0
49123,Returned,00:00.0
49255,Returned,00:00.0
49349,Returned,00:00.0
49412,Returned,00:00.0
49510,Returned,00:00.0
49668,Returned,00:00.0
49762,Returned,00:00.0
49797,Returned,00:00.0
49830,Returned,00:00.0
49924,Returned,00:00.0
49988,Returned,00:00.0
50048,Returned,00:00.0
50081,Returned,00:00.0
50083,Returned,00:00.0
50087,Returned,00:00.0
50147,Returned,00:00.0
50246,Returned,00:00.0
50307,Returned,00:00.0
50374,Returned,00:00.0
50432,Returned,00:00.0
50501,Returned,00:00.0
50564,Returned,00:00.0
50566,Returned,00:00.0
50663,Returned,00:00.0
50721,Returned,00:00.0
50789,Returned,00:00.0
50818,Returned,00:00.0
50823,Returned,00:00.0
50850,Returned,00:00.0
50914,Returned,00:00.0
51075,Returned,00:00.0
51239,Returned,00:00.0
51271,Returned,00:00.0
51302,Returned,00:00.0
51553,Returned,00:00.0
51554,Returned,00:00.0
51559,Returned,00:00.0
51876,Returned,00:00.0
51879,Returned,00:00.0
51940,Returned,00:00.0
52035,Returned,00:00.0
52068,Returned,00:00.0
52258,Returned,00:00.0
52288,Returned,00:00.0
52327,Returned,00:00.0
52518,Returned,00:00.0
52608,Returned,00:00.0
52611,Returned,00:00.0
52678,Returned,00:00.0
52805,Returned,00:00.0
53285,Returned,00:00.0
53536,Returned,00:00.0
53600,Returned,00:00.0
53767,Returned,00:00.0
54086,Returned,00:00.0
54119,Returned,00:00.0
54151,Returned,00:00.0
54215,Returned,00:00.0
54243,Returned,00:00.0
54245,Returned,00:00.0
54339,Returned,00:00.0
54368,Returned,00:00.0
54371,Returned,00:00.0
54563,Returned,00:00.0
54595,Returned,00:00.0
54721,Returned,00:00.0
54755,Returned,00:00.0
54787,Returned,00:00.0
54914,Returned,00:00.0
55172,Returned,00:00.0
55203,Returned,00:00.0
55235,Returned,00:00.0
55330,Returned,00:00.0
55526,Returned,00:00.0
55616,Returned,00:00.0
55618,Returned,00:00.0
55623,Returned,00:00.0
55747,Returned,00:00.0
55776,Returned,00:00.0
55808,Returned,00:00.0
55874,Returned,00:00.0
55877,Returned,00:00.0
55968,Returned,00:00.0
56101,Returned,00:00.0
56128,Returned,00:00.0
56257,Returned,00:00.0
56387,Returned,00:00.0
56452,Returned,00:00.0
56514,Returned,00:00.0
56582,Returned,00:00.0
56612,Returned,00:00.0
56768,Returned,00:00.0
56769,Returned,00:00.0
56868,Returned,00:00.0
56901,Returned,00:00.0
56930,Returned,00:00.0
56931,Returned,00:00.0
57157,Returned,00:00.0
57190,Returned,00:00.0
57248,Returned,00:00.0
57253,Returned,00:00.0
57440,Returned,00:00.0
57510,Returned,00:00.0
57600,Returned,00:00.0
57638,Returned,00:00.0
57986,Returned,00:00.0
58368,Returned,00:00.0
58372,Returned,00:00.0
58470,Returned,00:00.0
58500,Returned,00:00.0
58566,Returned,00:00.0
58688,Returned,00:00.0
58720,Returned,00:00.0
58725,Returned,00:00.0
58818,Returned,00:00.0
58949,Returned,00:00.0
59009,Returned,00:00.0
59047,Returned,00:00.0
59072,Returned,00:00.0
59139,Returned,00:00.0
59171,Returned,00:00.0
59585,Returned,00:00.0
59652,Returned,00:00.0
59680,Returned,00:00.0
59683,Returned,00:00.0
59776,Returned,00:00.0
59879,Returned,00:00.0
59937,Returned,00:00.0
